Time,Flow Set Point,Flow Measured Value,Pump Output,Flow PG,Flow I,Flow D,PID Area
0,1.5,0,93.73,2,0.8,0,1
0.11,1.5,0,100,2,0.8,0,1
0.203,1.5,0,100,2,0.8,0,1
0.312,1.5,0,100,2,0.8,0,1
0.406,1.5,0,100,2,0.8,0,1
0.515,1.5,0,100,2,0.8,0,1
0.609,1.5,0.09,100,2,0.8,0,1
0.702,1.5,0.36,100,2,0.8,0,1
0.812,1.5,0.76,100,2,0.8,0,1
0.905,1.5,1.07,100,2,0.8,0,1
1.014,1.5,1.37,91.76,2,0.8,0,1
1.108,1.5,1.57,79.61,2,0.8,0,1
1.202,1.5,1.77,65.88,2,0.8,0,1
1.311,1.5,1.92,53.73,2,0.8,0,1
1.404,1.5,2.01,44.71,2,0.8,0,1
1.514,1.5,2.05,38.04,2,0.8,0,1
1.607,1.5,2.11,30.59,2,0.8,0,1
1.701,1.5,2.07,29.02,2,0.8,0,1
1.81,1.5,2,29.02,2,0.8,0,1
1.904,1.5,1.89,32.55,2,0.8,0,1
2.013,1.5,1.79,36.47,2,0.8,0,1
2.106,1.5,1.72,38.82,2,0.8,0,1
2.216,1.5,1.67,40.78,2,0.8,0,1
2.309,1.5,1.63,42.35,2,0.8,0,1
2.403,1.5,1.6,43.14,2,0.8,0,1
2.512,1.5,1.61,41.57,2,0.8,0,1
2.606,1.5,1.61,40.78,2,0.8,0,1
2.715,1.5,1.6,40.78,2,0.8,0,1
2.808,1.5,1.63,38.04,2,0.8,0,1
2.902,1.5,1.64,36.47,2,0.8,0,1
3.011,1.5,1.65,34.51,2,0.8,0,1
3.105,1.5,1.64,34.12,2,0.8,0,1
3.214,1.5,1.61,34.9,2,0.8,0,1
3.308,1.5,1.59,36.08,2,0.8,0,1
3.401,1.5,1.55,38.04,2,0.8,0,1
3.51,1.5,1.52,39.22,2,0.8,0,1
3.604,1.5,1.52,39.22,2,0.8,0,1
3.713,1.5,1.55,37.25,2,0.8,0,1
3.807,1.5,1.56,36.08,2,0.8,0,1
3.916,1.5,1.57,34.51,2,0.8,0,1
4.01,1.5,1.56,34.9,2,0.8,0,1
4.103,1.5,1.56,34.51,2,0.8,0,1
4.212,1.5,1.53,36.08,2,0.8,0,1
4.306,1.5,1.52,36.47,2,0.8,0,1
4.415,1.5,1.51,37.25,2,0.8,0,1
4.509,1.5,1.51,37.25,2,0.8,0,1
4.602,1.5,1.51,37.25,2,0.8,0,1
4.712,1.5,1.51,37.25,2,0.8,0,1
4.805,1.5,1.52,36.08,2,0.8,0,1
4.914,1.5,1.52,36.08,2,0.8,0,1
5.008,1.5,1.53,34.9,2,0.8,0,1
5.102,1.5,1.53,34.9,2,0.8,0,1
5.211,1.5,1.51,36.47,2,0.8,0,1
5.304,1.5,1.52,35.29,2,0.8,0,1
5.414,1.5,1.53,34.51,2,0.8,0,1
5.507,1.5,1.53,34.12,2,0.8,0,1
5.601,1.5,1.52,34.9,2,0.8,0,1
5.71,1.5,1.52,34.51,2,0.8,0,1
5.804,1.5,1.52,34.51,2,0.8,0,1
5.913,1.5,1.51,35.29,2,0.8,0,1
6.006,1.5,1.51,35.29,2,0.8,0,1
6.116,1.5,1.49,36.08,2,0.8,0,1
6.209,1.5,1.49,36.08,2,0.8,0,1
6.303,1.5,1.49,36.08,2,0.8,0,1
6.412,1.5,1.48,37.25,2,0.8,0,1
6.506,1.5,1.51,35.29,2,0.8,0,1
6.615,1.5,1.48,37.25,2,0.8,0,1
6.708,1.5,1.49,36.47,2,0.8,0,1
6.802,1.5,1.51,35.69,2,0.8,0,1
6.911,1.5,1.51,35.69,2,0.8,0,1
7.005,1.5,1.49,36.47,2,0.8,0,1
7.114,1.5,1.51,35.69,2,0.8,0,1
7.208,1.5,1.51,35.69,2,0.8,0,1
7.301,1.5,1.51,35.29,2,0.8,0,1
7.41,1.5,1.52,34.51,2,0.8,0,1
7.504,1.5,1.51,35.29,2,0.8,0,1
7.613,1.5,1.52,34.51,2,0.8,0,1
7.707,1.5,1.51,34.9,2,0.8,0,1
7.816,1.5,1.49,36.08,2,0.8,0,1
7.91,1.5,1.49,36.08,2,0.8,0,1
8.003,1.5,1.51,35.29,2,0.8,0,1
8.112,1.5,1.51,34.9,2,0.8,0,1
8.206,1.5,1.49,36.08,2,0.8,0,1
8.315,1.5,1.49,36.08,2,0.8,0,1
8.409,1.5,1.49,36.08,2,0.8,0,1
8.502,1.5,1.49,36.08,2,0.8,0,1
8.612,1.5,1.49,36.08,2,0.8,0,1
