Time,Flow Set Point,Flow Measured Value,Pump Output,Flow PG,Flow I,Flow D,PID Area
0,2,0,36.86,2,0.8,0,1
0.11,2,0,100,2,0.8,0,1
0.203,2,0.03,100,2,0.8,0,1
0.312,2,0.01,100,2,0.8,0,1
0.406,2,0.08,100,2,0.8,0,1
0.515,2,0.44,100,2,0.8,0,1
0.609,2,0.77,100,2,0.8,0,1
0.702,2,1.09,100,2,0.8,0,1
0.812,2,1.4,100,2,0.8,0,1
0.905,2,1.64,100,2,0.8,0,1
1.014,2,1.85,100,2,0.8,0,1
1.108,2,2.01,93.73,2,0.8,0,1
1.202,2,2.15,84.71,2,0.8,0,1
1.311,2,2.25,76.47,2,0.8,0,1
1.404,2,2.32,70.2,2,0.8,0,1
1.514,2,2.37,64.31,2,0.8,0,1
1.607,2,2.4,60,2,0.8,0,1
1.701,2,2.4,57.25,2,0.8,0,1
1.81,2,2.36,56.47,2,0.8,0,1
1.904,2,2.31,57.65,2,0.8,0,1
2.013,2,2.25,58.82,2,0.8,0,1
2.106,2,2.21,59.61,2,0.8,0,1
2.216,2,2.17,60.78,2,0.8,0,1
2.309,2,2.16,60.39,2,0.8,0,1
2.403,2,2.13,60.78,2,0.8,0,1
2.512,2,2.13,60,2,0.8,0,1
2.606,2,2.12,60,2,0.8,0,1
2.715,2,2.11,59.61,2,0.8,0,1
2.808,2,2.09,60,2,0.8,0,1
2.902,2,2.09,59.22,2,0.8,0,1
3.011,2,2.08,59.22,2,0.8,0,1
3.105,2,2.07,59.61,2,0.8,0,1
3.214,2,2.05,60,2,0.8,0,1
3.308,2,2.07,58.82,2,0.8,0,1
3.401,2,2.05,59.22,2,0.8,0,1
3.51,2,2.05,58.82,2,0.8,0,1
3.604,2,2.07,57.65,2,0.8,0,1
3.713,2,2.05,58.04,2,0.8,0,1
3.807,2,2.04,58.43,2,0.8,0,1
3.916,2,2.03,58.82,2,0.8,0,1
4.01,2,2.03,58.82,2,0.8,0,1
4.103,2,2.03,58.82,2,0.8,0,1
4.212,2,2.03,58.43,2,0.8,0,1
4.306,2,2.03,58.43,2,0.8,0,1
4.415,2,2.04,57.25,2,0.8,0,1
4.509,2,2.05,56.08,2,0.8,0,1
4.602,2,2.03,57.25,2,0.8,0,1
4.712,2,2.01,58.04,2,0.8,0,1
4.805,2,2.01,58.04,2,0.8,0,1
4.914,2,2.01,58.04,2,0.8,0,1
5.008,2,2,58.82,2,0.8,0,1
5.102,2,2.01,57.65,2,0.8,0,1
5.211,2,2.01,57.65,2,0.8,0,1
5.305,2,2,58.43,2,0.8,0,1
5.414,2,2.01,57.65,2,0.8,0,1
5.507,2,2.01,57.65,2,0.8,0,1
5.601,2,2.01,57.25,2,0.8,0,1
5.71,2,2,58.04,2,0.8,0,1
5.804,2,2.01,57.25,2,0.8,0,1
5.913,2,1.99,58.82,2,0.8,0,1
6.007,2,2,58.04,2,0.8,0,1
6.116,2,2.01,57.25,2,0.8,0,1
6.209,2,2.01,57.25,2,0.8,0,1
6.303,2,2.01,57.25,2,0.8,0,1
6.412,2,2,58.04,2,0.8,0,1
6.506,2,2.01,56.86,2,0.8,0,1
