Time,Flow Set Point,Flow Measured Value,Pump Output,Flow PG,Flow I,Flow D,PID Area
0,1.5,0,51.37,1.2,0.8,0.2,1
0.109,1.5,0,100,1.2,0.8,0.2,1
0.203,1.5,0,66.27,1.2,0.8,0.2,1
0.312,1.5,0,73.73,1.2,0.8,0.2,1
0.406,1.5,0,80,1.2,0.8,0.2,1
0.515,1.5,0,87.06,1.2,0.8,0.2,1
0.608,1.5,0,93.33,1.2,0.8,0.2,1
0.702,1.5,0,99.22,1.2,0.8,0.2,1
0.811,1.5,0,100,1.2,0.8,0.2,1
0.905,1.5,0.03,100,1.2,0.8,0.2,1
1.014,1.5,0.23,98.04,1.2,0.8,0.2,1
1.108,1.5,0.53,81.18,1.2,0.8,0.2,1
1.201,1.5,0.84,72.55,1.2,0.8,0.2,1
1.31,1.5,1.13,68.24,1.2,0.8,0.2,1
1.404,1.5,1.36,62.75,1.2,0.8,0.2,1
1.513,1.5,1.61,54.12,1.2,0.8,0.2,1
1.607,1.5,1.8,48.63,1.2,0.8,0.2,1
1.716,1.5,1.88,52.94,1.2,0.8,0.2,1
1.81,1.5,1.91,53.33,1.2,0.8,0.2,1
1.903,1.5,1.89,55.29,1.2,0.8,0.2,1
2.012,1.5,1.91,50.98,1.2,0.8,0.2,1
2.106,1.5,1.91,50.2,1.2,0.8,0.2,1
2.215,1.5,1.91,48.24,1.2,0.8,0.2,1
2.309,1.5,1.91,46.27,1.2,0.8,0.2,1
2.402,1.5,1.89,46.27,1.2,0.8,0.2,1
2.512,1.5,1.89,43.53,1.2,0.8,0.2,1
2.605,1.5,1.87,44.71,1.2,0.8,0.2,1
2.714,1.5,1.84,43.92,1.2,0.8,0.2,1
2.808,1.5,1.81,43.92,1.2,0.8,0.2,1
2.902,1.5,1.8,41.96,1.2,0.8,0.2,1
3.011,1.5,1.77,42.35,1.2,0.8,0.2,1
3.104,1.5,1.77,39.61,1.2,0.8,0.2,1
3.214,1.5,1.76,39.61,1.2,0.8,0.2,1
3.307,1.5,1.73,40.78,1.2,0.8,0.2,1
3.401,1.5,1.71,40.78,1.2,0.8,0.2,1
3.51,1.5,1.69,39.22,1.2,0.8,0.2,1
3.604,1.5,1.68,38.82,1.2,0.8,0.2,1
3.713,1.5,1.67,38.43,1.2,0.8,0.2,1
3.806,1.5,1.65,38.43,1.2,0.8,0.2,1
3.916,1.5,1.63,39.61,1.2,0.8,0.2,1
4.009,1.5,1.61,38.82,1.2,0.8,0.2,1
4.103,1.5,1.59,40.39,1.2,0.8,0.2,1
4.212,1.5,1.59,38.04,1.2,0.8,0.2,1
4.306,1.5,1.59,37.65,1.2,0.8,0.2,1
4.415,1.5,1.57,38.82,1.2,0.8,0.2,1
