Time,Flow Set Point,Flow Measured Value,Pump Output,Flow PG,Flow I,Flow D,PID Area
0,1.5,0,18.04,1,0.8,0.2,1
0.109,1.5,0,100,1,0.8,0.2,1
0.203,1.5,0,55.29,1,0.8,0.2,1
0.312,1.5,0,61.18,1,0.8,0.2,1
0.405,1.5,0,66.27,1,0.8,0.2,1
0.515,1.5,0,72.55,1,0.8,0.2,1
0.608,1.5,0,77.65,1,0.8,0.2,1
0.702,1.5,0,82.75,1,0.8,0.2,1
0.811,1.5,0.04,85.49,1,0.8,0.2,1
0.905,1.5,0.25,72.16,1,0.8,0.2,1
1.014,1.5,0.65,55.69,1,0.8,0.2,1
1.107,1.5,0.93,53.33,1,0.8,0.2,1
1.201,1.5,1.13,53.73,1,0.8,0.2,1
1.31,1.5,1.43,41.96,1,0.8,0.2,1
1.404,1.5,1.56,45.49,1,0.8,0.2,1
1.513,1.5,1.71,40.78,1,0.8,0.2,1
1.607,1.5,1.72,46.67,1,0.8,0.2,1
1.716,1.5,1.71,47.84,1,0.8,0.2,1
1.809,1.5,1.71,46.27,1,0.8,0.2,1
1.903,1.5,1.71,45.49,1,0.8,0.2,1
2.012,1.5,1.72,43.53,1,0.8,0.2,1
2.106,1.5,1.72,43.53,1,0.8,0.2,1
2.215,1.5,1.73,41.57,1,0.8,0.2,1
2.309,1.5,1.73,41.57,1,0.8,0.2,1
2.402,1.5,1.72,41.96,1,0.8,0.2,1
2.511,1.5,1.72,40.39,1,0.8,0.2,1
2.605,1.5,1.71,40.78,1,0.8,0.2,1
2.714,1.5,1.71,39.22,1,0.8,0.2,1
2.808,1.5,1.68,40.78,1,0.8,0.2,1
2.901,1.5,1.68,38.82,1,0.8,0.2,1
3.011,1.5,1.67,39.22,1,0.8,0.2,1
3.104,1.5,1.65,39.22,1,0.8,0.2,1
3.213,1.5,1.64,38.82,1,0.8,0.2,1
3.307,1.5,1.64,37.65,1,0.8,0.2,1
3.401,1.5,1.61,39.61,1,0.8,0.2,1
3.51,1.5,1.63,36.47,1,0.8,0.2,1
3.603,1.5,1.61,38.04,1,0.8,0.2,1
3.713,1.5,1.59,38.82,1,0.8,0.2,1
3.806,1.5,1.6,36.08,1,0.8,0.2,1
3.915,1.5,1.59,37.65,1,0.8,0.2,1
4.009,1.5,1.59,36.47,1,0.8,0.2,1
4.103,1.5,1.56,38.82,1,0.8,0.2,1
4.212,1.5,1.56,36.86,1,0.8,0.2,1
4.305,1.5,1.56,36.47,1,0.8,0.2,1
4.415,1.5,1.57,35.29,1,0.8,0.2,1
4.508,1.5,1.55,38.43,1,0.8,0.2,1
4.602,1.5,1.56,35.29,1,0.8,0.2,1
4.711,1.5,1.56,35.69,1,0.8,0.2,1
4.805,1.5,1.55,36.86,1,0.8,0.2,1
4.914,1.5,1.55,35.69,1,0.8,0.2,1
5.007,1.5,1.52,38.04,1,0.8,0.2,1
5.101,1.5,1.52,36.47,1,0.8,0.2,1
5.21,1.5,1.52,36.47,1,0.8,0.2,1
5.304,1.5,1.52,36.08,1,0.8,0.2,1
5.413,1.5,1.53,34.9,1,0.8,0.2,1
5.507,1.5,1.53,35.69,1,0.8,0.2,1
5.616,1.5,1.52,36.47,1,0.8,0.2,1
5.709,1.5,1.52,35.69,1,0.8,0.2,1
5.803,1.5,1.52,35.69,1,0.8,0.2,1
5.912,1.5,1.51,36.86,1,0.8,0.2,1
6.006,1.5,1.52,34.9,1,0.8,0.2,1
6.115,1.5,1.53,34.51,1,0.8,0.2,1
6.209,1.5,1.53,34.9,1,0.8,0.2,1
6.302,1.5,1.53,34.9,1,0.8,0.2,1
6.411,1.5,1.52,36.08,1,0.8,0.2,1
6.505,1.5,1.53,34.12,1,0.8,0.2,1
6.614,1.5,1.52,35.69,1,0.8,0.2,1
6.708,1.5,1.52,34.9,1,0.8,0.2,1
6.801,1.5,1.52,34.9,1,0.8,0.2,1
6.911,1.5,1.53,33.73,1,0.8,0.2,1
7.004,1.5,1.52,35.69,1,0.8,0.2,1
7.113,1.5,1.52,34.51,1,0.8,0.2,1
7.207,1.5,1.52,34.51,1,0.8,0.2,1
7.301,1.5,1.51,35.69,1,0.8,0.2,1
7.41,1.5,1.52,33.73,1,0.8,0.2,1
7.503,1.5,1.52,34.51,1,0.8,0.2,1
7.613,1.5,1.52,34.51,1,0.8,0.2,1
7.706,1.5,1.52,34.12,1,0.8,0.2,1
7.815,1.5,1.51,35.29,1,0.8,0.2,1
7.909,1.5,1.52,33.33,1,0.8,0.2,1
8.003,1.5,1.51,35.29,1,0.8,0.2,1
8.112,1.5,1.51,34.51,1,0.8,0.2,1
8.205,1.5,1.49,35.69,1,0.8,0.2,1
8.315,1.5,1.49,34.9,1,0.8,0.2,1
8.408,1.5,1.49,34.9,1,0.8,0.2,1
8.502,1.5,1.49,34.9,1,0.8,0.2,1
8.611,1.5,1.51,33.73,1,0.8,0.2,1
